Sensor,x_i,y_i,z_i,R_i,A_ideal,Sigma,Ruido,A_observada
S1,-4.0,-3.0,0.2,5.79396237474839,0.005257005624438447,0.00026285028122192234,-3.787418365091794e-05,0.005219131440787529
S2,-2.5,2.8,-0.1,5.2583267300539625,0.009896694157967262,0.0004948347078983631,-8.555870256462267e-05,0.00981113545540264
S3,0.0,4.0,0.1,5.091168824543142,0.012081364140764148,0.0006040682070382075,-6.724237291209117e-05,0.012014121767852057
S4,3.5,3.0,-0.2,4.532107677449863,0.023737251140623382,0.0011868625570311691,0.000833158198965102,0.024570409339588484
S5,4.5,-1.5,0.0,3.5482389998420345,0.08109732268864867,0.004054866134432434,-0.0005173534110615838,0.08057996927758708
S6,2.0,-4.0,0.3,3.583294573433784,0.07753761313599902,0.0038768806567999513,-0.0058050604884518206,0.0717325526475472
S7,-1.0,-4.5,-0.1,4.419275958796871,0.027250954301511632,0.0013625477150755816,0.0004527996003871664,0.0277037539018988
S8,-4.5,1.0,0.2,6.117188896870849,0.0036040161277064034,0.0001802008063853202,-4.817442920220791e-05,0.0035558416985041956
S9,0.5,0.5,0.0,1.8411952639521971,0.8615474625138617,0.04307737312569309,-0.00934601018978196,0.8522014523240797
S10,2.8,0.8,-0.3,2.4,0.3779914720392188,0.018899573601960942,0.002190173055600355,0.38018164509481917
S11,-1.8,-1.2,0.1,3.2557641192199416,0.11840953510600798,0.0059204767553003995,0.0013753133516651286,0.11978484845767311
S12,1.0,3.2,0.2,4.21070065428546,0.03523396942192973,0.0017616984710964866,0.0020498395592127463,0.037283808981142474
